1,on,2
2,the,3
3,origin,6
4,of,2
5,species,7
6,introduction,12
7,when,4
8,on,2
9,board,5
10,hms,3
11,beagle,6
12,as,2
13,naturalist,10
14,i,1
15,was,3
16,much,4
17,struck,6
18,with,4
19,certain,7
20,facts,5
21,in,2
22,the,3
23,distribution,12
24,of,2
25,the,3
26,inhabitants,11
27,of,2
28,south,5
29,america,7
30,and,3
31,in,2
32,the,3
33,geological,10
34,relations,9
35,of,2
36,the,3
37,present,7
38,to,2
39,the,3
40,past,4
41,inhabitants,11
42,of,2
43,that,4
44,continent,9
45,these,5
46,facts,5
47,seemed,6
48,to,2
49,me,2
50,to,2
51,throw,5
52,some,4
53,light,5
54,on,2
55,the,3
56,origin,6
57,of,2
58,species,7
59,that,4
60,mystery,7
61,of,2
62,mysteries,9
63,as,2
64,it,2
65,has,3
66,been,4
67,called,6
68,by,2
69,one,3
70,of,2
71,our,3
72,greatest,8
73,philosophers,12
74,on,2
75,my,2
76,return,6
77,home,4
78,it,2
79,occurred,8
80,to,2
81,me,2
82,in,2
83,that,4
84,something,9
85,might,5
86,perhaps,7
87,be,2
88,made,4
89,out,3
90,on,2
91,this,4
92,question,8
93,by,2
94,patiently,9
95,accumulating,12
96,and,3
97,reflecting,10
98,on,2
99,all,3
100,sorts,5
101,of,2
102,facts,5
103,which,5
104,could,5
105,possibly,8
106,have,4
107,any,3
108,bearing,7
109,on,2
110,it,2
111,after,5
112,five,4
113,years,5
114,work,4
115,i,1
116,allowed,7
117,myself,6
118,to,2
119,speculate,9
120,on,2
121,the,3
122,subject,7
123,and,3
124,drew,4
125,up,2
126,some,4
127,short,5
128,notes,5
129,these,5
130,i,1
131,enlarged,8
132,in,2
133,into,4
134,a,1
135,sketch,6
136,of,2
137,the,3
138,conclusions,11
139,which,5
140,then,4
141,seemed,6
142,to,2
143,me,2
144,probable,8
145,from,4
146,that,4
147,period,6
148,to,2
149,the,3
150,present,7
151,day,3
152,i,1
153,have,4
154,steadily,8
155,pursued,7
156,the,3
157,same,4
158,object,6
159,i,1
160,hope,4
161,that,4
162,i,1
163,may,3
164,be,2
165,excused,7
166,for,3
167,entering,8
168,on,2
169,these,5
170,personal,8
171,details,7
172,as,2
173,i,1
174,give,4
175,them,4
176,to,2
177,show,4
178,that,4
179,i,1
180,have,4
181,not,3
182,been,4
183,hasty,5
184,in,2
185,coming,6
186,to,2
187,a,1
188,decision,8
189,my,2
190,work,4
191,is,2
192,now,3
193,nearly,6
194,finished,8
195,but,3
196,as,2
197,it,2
198,will,4
199,take,4
200,me,2
201,two,3
202,or,2
203,three,5
204,more,4
205,years,5
206,to,2
207,complete,8
208,it,2
209,and,3
210,as,2
211,my,2
212,health,6
213,is,2
214,far,3
215,from,4
216,strong,6
217,i,1
218,have,4
219,been,4
220,urged,5
221,to,2
222,publish,7
223,this,4
224,abstract,8
225,i,1
226,have,4
227,more,4
228,especially,10
229,been,4
230,induced,7
231,to,2
232,do,2
233,this,4
234,as,2
235,mr,2
236,wallace,7
237,who,3
238,is,2
239,now,3
240,studying,8
241,the,3
242,natural,7
243,history,7
244,of,2
245,the,3
246,malay,5
247,archipelago,11
248,has,3
249,arrived,7
250,at,2
251,almost,6
252,exactly,7
253,the,3
254,same,4
255,general,7
256,conclusions,11
257,that,4
258,i,1
259,have,4
260,on,2
261,the,3
262,origin,6
263,of,2
264,species,7
265,last,4
266,year,4
267,he,2
268,sent,4
269,to,2
270,me,2
271,a,1
272,memoir,6
273,on,2
274,this,4
275,subject,7
276,with,4
277,a,1
278,request,7
279,that,4
280,i,1
281,would,5
282,forward,7
283,it,2
284,to,2
285,sir,3
286,charles,7
287,lyell,5
288,who,3
289,sent,4
290,it,2
291,to,2
292,the,3
293,linnean,7
294,society,7
295,and,3
296,it,2
297,is,2
298,published,9
299,in,2
300,the,3
301,third,5
302,volume,6
303,of,2
304,the,3
305,journal,7
306,of,2
307,that,4
308,society,7
309,sir,3
310,c,1
311,lyell,5
312,and,3
313,dr,2
314,hooker,6
315,who,3
316,both,4
317,knew,4
318,of,2
319,my,2
320,work,4
321,the,3
322,latter,6
323,having,6
324,read,4
325,my,2
326,sketch,6
327,of,2
328,honoured,8
329,me,2
330,by,2
331,thinking,8
332,it,2
333,advisable,9
334,to,2
335,publish,7
336,with,4
337,mr,2
338,wallaces,8
339,excellent,9
340,memoir,6
341,some,4
342,brief,5
343,extracts,8
344,from,4
345,my,2
346,manuscripts,11
347,this,4
348,abstract,8
349,which,5
350,i,1
351,now,3
352,publish,7
353,must,4
354,necessarily,11
355,be,2
356,imperfect,9
357,i,1
358,cannot,6
359,here,4
360,give,4
361,references,10
362,and,3
363,authorities,11
364,for,3
365,my,2
366,several,7
367,statements,10
368,and,3
369,i,1
370,must,4
371,trust,5
372,to,2
373,the,3
374,reader,6
375,reposing,8
376,some,4
377,confidence,10
378,in,2
379,my,2
380,accuracy,8
381,no,2
382,doubt,5
383,errors,6
384,will,4
385,have,4
386,crept,5
387,in,2
388,though,6
389,i,1
390,hope,4
391,i,1
392,have,4
393,always,6
394,been,4
395,cautious,8
396,in,2
397,trusting,8
398,to,2
399,good,4
400,authorities,11
401,alone,5
402,i,1
403,can,3
404,here,4
405,give,4
406,only,4
407,the,3
408,general,7
409,conclusions,11
410,at,2
411,which,5
412,i,1
413,have,4
414,arrived,7
415,with,4
416,a,1
417,few,3
418,facts,5
419,in,2
420,illustration,12
421,but,3
422,which,5
423,i,1
424,hope,4
425,in,2
426,most,4
427,cases,5
428,will,4
429,suffice,7
430,no,2
431,one,3
432,can,3
433,feel,4
434,more,4
435,sensible,8
436,than,4
437,i,1
438,do,2
439,of,2
440,the,3
441,necessity,9
442,of,2
443,hereafter,9
444,publishing,10
445,in,2
446,detail,6
447,all,3
448,the,3
449,facts,5
450,with,4
451,references,10
452,on,2
453,which,5
454,my,2
455,conclusions,11
456,have,4
457,been,4
458,grounded,8
459,and,3
460,i,1
461,hope,4
462,in,2
463,a,1
464,future,6
465,work,4
466,to,2
467,do,2
468,this,4
469,for,3
470,i,1
471,am,2
472,well,4
473,aware,5
474,that,4
475,scarcely,8
476,a,1
477,single,6
478,point,5
479,is,2
480,discussed,9
481,in,2
482,this,4
483,volume,6
484,on,2
485,which,5
486,facts,5
487,cannot,6
488,be,2
489,adduced,7
490,often,5
491,apparently,10
492,leading,7
493,to,2
494,conclusions,11
495,directly,8
496,opposite,8
497,to,2
498,those,5
499,at,2
500,which,5
501,i,1
502,have,4
503,arrived,7
504,a,1
505,fair,4
506,result,6
507,can,3
508,be,2
509,obtained,8
510,only,4
511,by,2
512,fully,5
513,stating,7
514,and,3
515,balancing,9
516,the,3
517,facts,5
518,and,3
519,arguments,9
520,on,2
521,both,4
522,sides,5
523,of,2
524,each,4
525,question,8
526,and,3
527,this,4
528,cannot,6
529,possibly,8
530,be,2
531,here,4
532,done,4
533,i,1
534,much,4
535,regret,6
536,that,4
537,want,4
538,of,2
539,space,5
540,prevents,8
541,my,2
542,having,6
543,the,3
544,satisfaction,12
545,of,2
546,acknowledging,13
547,the,3
548,generous,8
549,assistance,10
550,which,5
551,i,1
552,have,4
553,received,8
554,from,4
555,very,4
556,many,4
557,naturalists,11
558,some,4
559,of,2
560,them,4
561,personally,10
562,unknown,7
563,to,2
564,me,2
565,i,1
566,cannot,6
567,however,7
568,let,3
569,this,4
570,opportunity,11
571,pass,4
572,without,7
573,expressing,10
574,my,2
575,deep,4
576,obligations,11
577,to,2
578,dr,2
579,hooker,6
580,who,3
581,for,3
582,the,3
583,last,4
584,fifteen,7
585,years,5
586,has,3
587,aided,5
588,me,2
589,in,2
590,every,5
591,possible,8
592,way,3
593,by,2
594,his,3
595,large,5
596,stores,6
597,of,2
598,knowledge,9
599,and,3
600,his,3
601,excellent,9
602,judgment,8
603,in,2
604,considering,11
605,the,3
606,origin,6
607,of,2
608,species,7
609,it,2
610,is,2
611,quite,5
612,conceivable,11
613,that,4
614,a,1
615,naturalist,10
616,reflecting,10
617,on,2
618,the,3
619,mutual,6
620,affinities,10
621,of,2
622,organic,7
623,beings,6
624,on,2
625,their,5
626,embryological,13
627,relations,9
628,their,5
629,geographical,12
630,distribution,12
631,geological,10
632,succession,10
633,and,3
634,other,5
635,such,4
636,facts,5
637,might,5
638,come,4
639,to,2
640,the,3
641,conclusion,10
642,that,4
643,each,4
644,species,7
645,had,3
646,not,3
647,been,4
648,independently,13
649,created,7
650,but,3
651,had,3
652,descended,9
653,like,4
654,varieties,9
655,from,4
656,other,5
657,species,7
658,nevertheless,12
659,such,4
660,a,1
661,conclusion,10
662,even,4
663,if,2
664,well,4
665,founded,7
666,would,5
667,be,2
668,unsatisfactory,14
669,until,5
670,it,2
671,could,5
672,be,2
673,shown,5
674,how,3
675,the,3
676,innumerable,11
677,species,7
678,inhabiting,10
679,this,4
680,world,5
681,have,4
682,been,4
683,modified,8
684,so,2
685,as,2
686,to,2
687,acquire,7
688,that,4
689,perfection,10
690,of,2
691,structure,9
692,and,3
693,coadaptation,12
694,which,5
695,most,4
696,justly,6
697,excites,7
698,our,3
699,admiration,10
700,naturalists,11
701,continually,11
702,refer,5
703,to,2
704,external,8
705,conditions,10
706,such,4
707,as,2
708,climate,7
709,food,4
710,etc,3
711,as,2
712,the,3
713,only,4
714,possible,8
715,cause,5
716,of,2
717,variation,9
718,in,2
719,one,3
720,very,4
721,limited,7
722,sense,5
723,as,2
724,we,2
725,shall,5
726,hereafter,9
727,see,3
728,this,4
729,may,3
730,be,2
731,true,4
732,but,3
733,it,2
734,is,2
735,preposterous,12
736,to,2
737,attribute,9
738,to,2
739,mere,4
740,external,8
741,conditions,10
742,the,3
743,structure,9
744,for,3
745,instance,8
746,of,2
747,the,3
748,woodpecker,10
749,with,4
750,its,3
751,feet,4
752,tail,4
753,beak,4
754,and,3
755,tongue,6
756,so,2
757,admirably,9
758,adapted,7
759,to,2
760,catch,5
761,insects,7
762,under,5
763,the,3
764,bark,4
765,of,2
766,trees,5
767,in,2
768,the,3
769,case,4
770,of,2
771,the,3
772,misseltoe,9
773,which,5
774,draws,5
775,its,3
776,nourishment,11
777,from,4
778,certain,7
779,trees,5
780,which,5
781,has,3
782,seeds,5
783,that,4
784,must,4
785,be,2
786,transported,11
787,by,2
788,certain,7
789,birds,5
790,and,3
791,which,5
792,has,3
793,flowers,7
794,with,4
795,separate,8
796,sexes,5
797,absolutely,10
798,requiring,9
799,the,3
800,agency,6
801,of,2
802,certain,7
803,insects,7
804,to,2
805,bring,5
806,pollen,6
807,from,4
808,one,3
809,flower,6
810,to,2
811,the,3
812,other,5
813,it,2
814,is,2
815,equally,7
816,preposterous,12
817,to,2
818,account,7
819,for,3
820,the,3
821,structure,9
822,of,2
823,this,4
824,parasite,8
825,with,4
826,its,3
827,relations,9
828,to,2
829,several,7
830,distinct,8
831,organic,7
832,beings,6
833,by,2
834,the,3
835,effects,7
836,of,2
837,external,8
838,conditions,10
839,or,2
840,of,2
841,habit,5
842,or,2
843,of,2
844,the,3
845,volition,8
846,of,2
847,the,3
848,plant,5
849,itself,6
850,the,3
851,author,6
852,of,2
853,the,3
854,vestiges,8
855,of,2
856,creation,8
857,would,5
858,i,1
859,presume,7
860,say,3
861,that,4
862,after,5
863,a,1
864,certain,7
865,unknown,7
866,number,6
867,of,2
868,generations,11
869,some,4
870,bird,4
871,had,3
872,given,5
873,birth,5
874,to,2
875,a,1
876,woodpecker,10
877,and,3
878,some,4
879,plant,5
880,to,2
881,the,3
882,misseltoe,9
883,and,3
884,that,4
885,these,5
886,had,3
887,been,4
888,produced,8
889,perfect,7
890,as,2
891,we,2
892,now,3
893,see,3
894,them,4
895,but,3
896,this,4
897,assumption,10
898,seems,5
899,to,2
900,me,2
901,to,2
902,be,2
903,no,2
904,explanation,11
905,for,3
